"Title","Start","End","Duration"
"Meetings","11/22/2015 08:00","11/22/2015 08:15","00:15"
"Non-Technical Work","11/22/2015 08:15","11/22/2015 18:00","09:45"
"Personal","11/22/2015 18:00","11/22/2015 20:30","02:30"
"Non-Technical Work","11/22/2015 20:30","11/23/2015 00:00","03:30"
"Personal","11/23/2015 00:00","11/23/2015 00:30","00:30"
"Sleep","11/23/2015 00:30","11/23/2015 05:00","04:30"
"Non-Technical Work","11/23/2015 05:00","11/23/2015 08:00","03:00"
"Meetings","11/23/2015 08:00","11/23/2015 09:00","01:00"
"Non-Technical Work","11/23/2015 09:00","11/23/2015 10:30","01:30"
"Meetings","11/23/2015 10:30","11/23/2015 11:30","01:00"
"Non-Technical Work","11/23/2015 11:30","11/23/2015 19:00","07:30"
"Personal","11/23/2015 19:00","11/23/2015 20:30","01:30"
"Non-Technical Work","11/23/2015 20:30","11/24/2015 00:00","03:30"
"Personal","11/24/2015 00:00","11/24/2015 00:30","00:30"
"Sleep","11/24/2015 00:30","11/24/2015 07:00","06:30"
"Non-Technical Work","11/24/2015 07:00","11/24/2015 07:30","00:30"
"Personal","11/24/2015 07:30","11/24/2015 08:00","00:30"
"Meetings","11/24/2015 08:00","11/24/2015 09:00","01:00"
"Non-Technical Work","11/24/2015 09:00","11/24/2015 11:30","02:30"
"Meetings","11/24/2015 11:30","11/24/2015 12:30","01:00"
"Non-Technical Work","11/24/2015 12:30","11/24/2015 19:00","06:30"
"Personal","11/24/2015 19:00","11/24/2015 20:30","01:30"
"Non-Technical Work","11/24/2015 20:30","11/25/2015 00:00","03:30"
"Personal","11/25/2015 00:00","11/25/2015 00:30","00:30"
"Sleep","11/25/2015 00:30","11/25/2015 05:00","04:30"
"Non-Technical Work","11/25/2015 05:00","11/25/2015 08:00","03:00"
"Meetings","11/25/2015 08:00","11/25/2015 09:00","01:00"
"Non-Technical Work","11/25/2015 09:00","11/25/2015 10:30","01:30"
"Meetings","11/25/2015 10:30","11/25/2015 13:00","02:30"
"Non-Technical Work","11/25/2015 13:00","11/25/2015 15:30","02:30"
"Personal","11/25/2015 15:30","11/25/2015 16:15","00:45"
"Non-Technical Work","11/25/2015 16:15","11/25/2015 19:00","02:45"
"Personal","11/25/2015 19:00","11/25/2015 21:30","02:30"
"Non-Technical Work","11/25/2015 21:30","11/26/2015 00:00","02:30"
"Non-Technical Work","11/26/2015 00:00","11/26/2015 00:30","00:30"
"Personal","11/26/2015 00:30","11/26/2015 01:00","00:30"
"Sleep","11/26/2015 01:00","11/26/2015 05:00","04:00"
"Non-Technical Work","11/26/2015 05:00","11/26/2015 08:00","03:00"
"Meetings","11/26/2015 08:00","11/26/2015 09:00","01:00"
"Non-Technical Work","11/26/2015 09:00","11/26/2015 10:00","01:00"
"Exercise","11/26/2015 10:00","11/26/2015 12:00","02:00"
"Technical Work","11/26/2015 12:00","11/26/2015 14:15","02:15"
"Non-Technical Work","11/26/2015 14:15","11/26/2015 16:00","01:45"
"Personal","11/26/2015 16:00","11/26/2015 18:45","02:45"
"Non-Technical Work","11/26/2015 18:45","11/26/2015 21:30","02:45"
"Technical Work","11/26/2015 21:30","11/27/2015 00:00","02:30"
"Sleep","11/27/2015 00:00","11/27/2015 05:30","05:30"
"Non-Technical Work","11/27/2015 05:30","11/27/2015 08:00","02:30"
"Meetings","11/27/2015 08:00","11/27/2015 09:00","01:00"
"Non-Technical Work","11/27/2015 09:00","11/27/2015 10:30","01:30"
"Meetings","11/27/2015 10:30","11/27/2015 11:30","01:00"
"Non-Technical Work","11/27/2015 11:30","11/27/2015 19:00","07:30"
"Personal","11/27/2015 19:00","11/27/2015 21:30","02:30"
"Non-Technical Work","11/27/2015 21:30","11/28/2015 00:00","02:30"
"Non-Technical Work","11/28/2015 00:00","11/28/2015 01:30","01:30"
"Sleep","11/28/2015 01:30","11/28/2015 06:30","05:00"
"Personal","11/28/2015 06:30","11/28/2015 09:00","02:30"
"Non-Technical Work","11/28/2015 09:00","11/28/2015 17:15","08:15"
"Personal","11/28/2015 17:15","11/28/2015 19:45","02:30"
"Non-Technical Work","11/28/2015 19:45","11/29/2015 00:00","04:15"
"Non-Technical Work","11/29/2015 00:00","11/29/2015 00:45","00:45"
"Sleep","11/29/2015 00:45","11/29/2015 07:30","06:45"
"Personal","11/29/2015 07:30","11/29/2015 09:15","01:45"
"Non-Technical Work","11/29/2015 09:15","11/29/2015 14:00","04:45"
"Personal","11/29/2015 14:00","11/29/2015 16:30","02:30"
"Non-Technical Work","11/29/2015 16:30","11/29/2015 18:30","02:00"
"Personal","11/29/2015 18:30","11/29/2015 20:15","01:45"
"Non-Technical Work","11/29/2015 20:15","11/30/2015 00:00","03:45"
"Sleep","11/30/2015 00:00","11/30/2015 06:00","06:00"
"Non-Technical Work","11/30/2015 06:00","11/30/2015 08:00","02:00"
"Meetings","11/30/2015 08:00","11/30/2015 09:00","01:00"
"Non-Technical Work","11/30/2015 09:00","11/30/2015 10:30","01:30"
"Meetings","11/30/2015 10:30","11/30/2015 11:30","01:00"
"Non-Technical Work","11/30/2015 11:30","11/30/2015 18:30","07:00"
"Personal","11/30/2015 18:30","11/30/2015 20:30","02:00"
"Non-Technical Work","11/30/2015 20:30","12/01/2015 00:00","03:30"
"Non-Technical Work","12/01/2015 00:00","12/01/2015 00:30","00:30"
"Sleep","12/01/2015 00:30","12/01/2015 05:30","05:00"
"Personal","12/01/2015 05:30","12/01/2015 06:15","00:45"
"Non-Technical Work","12/01/2015 06:15","12/01/2015 08:00","01:45"
"Meetings","12/01/2015 08:00","12/01/2015 08:30","00:30"
"Non-Technical Work","12/01/2015 08:30","12/01/2015 09:00","00:30"
"Meetings","12/01/2015 09:00","12/01/2015 09:45","00:45"
"Non-Technical Work","12/01/2015 09:45","12/01/2015 10:30","00:45"
"Meetings","12/01/2015 10:30","12/01/2015 11:30","01:00"
"Non-Technical Work","12/01/2015 11:30","12/01/2015 18:30","07:00"
"Personal","12/01/2015 18:30","12/01/2015 20:30","02:00"
"Non-Technical Work","12/01/2015 20:30","12/02/2015 00:00","03:30"
"Personal","12/02/2015 00:00","12/02/2015 00:30","00:30"
"Sleep","12/02/2015 00:30","12/02/2015 05:30","05:00"
"Personal","12/02/2015 05:30","12/02/2015 06:15","00:45"
"Non-Technical Work","12/02/2015 06:15","12/02/2015 08:00","01:45"
